date,state,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2013-08-22,Malaysia,364,65,57,35,15,25,7,5,1,0,574
2013-08-23,Malaysia,152,76,64,41,23,9,7,2,0,0,374
2013-08-24,Malaysia,123,96,76,51,43,22,13,1,0,0,425
2013-08-25,Malaysia,102,71,63,79,61,51,21,12,1,0,461
2013-08-26,Malaysia,182,31,23,17,13,5,12,4,0,0,287
2013-08-27,Malaysia,294,90,57,54,23,10,7,4,0,0,539
2013-08-28,Malaysia,407,106,93,61,40,17,9,9,0,0,742
2013-08-29,Malaysia,329,111,47,20,20,11,4,5,1,1,549
2013-08-30,Malaysia,86,56,39,30,18,6,4,1,1,0,241
2013-08-31,Malaysia,133,101,85,58,59,50,26,10,2,3,527
2013-09-01,Malaysia,111,82,75,47,42,20,18,14,0,2,411
2013-09-02,Malaysia,93,29,24,15,9,13,4,2,0,0,189
2013-09-03,Malaysia,233,74,32,22,9,9,7,2,0,0,388
2013-09-04,Malaysia,378,61,64,31,14,7,3,4,0,0,562
2013-09-05,Malaysia,309,40,16,12,7,4,2,3,0,3,396
2013-09-06,Malaysia,80,17,24,12,17,5,2,3,0,0,160
2013-09-07,Malaysia,361,159,109,72,62,57,34,21,4,3,882
2013-09-08,Malaysia,121,75,64,61,50,36,20,11,2,0,440
2013-09-09,Malaysia,242,65,18,11,8,8,6,2,0,0,360
2013-09-10,Malaysia,369,105,25,26,11,8,3,0,0,0,547
2013-09-11,Malaysia,318,141,46,34,22,16,10,3,0,0,590
2013-09-12,Malaysia,335,132,59,40,25,15,12,7,0,0,625
2013-09-13,Malaysia,116,48,55,29,14,17,8,0,0,0,287
2013-09-14,Malaysia,205,51,34,35,19,17,6,3,1,0,371
2013-09-15,Malaysia,130,88,69,65,57,57,20,7,0,1,494
2013-09-16,Malaysia,105,76,60,56,48,33,19,8,0,1,406
2013-09-17,Malaysia,80,49,33,33,23,22,11,3,0,0,254
2013-09-18,Malaysia,593,64,56,56,26,24,9,5,0,0,833
2013-09-19,Malaysia,427,72,49,39,28,16,9,2,0,1,643
2013-09-20,Malaysia,139,41,34,24,15,8,6,0,0,0,267
2013-09-21,Malaysia,317,55,54,37,32,25,19,5,3,0,547
2013-09-22,Malaysia,156,89,105,96,78,52,42,12,0,0,630
2013-09-23,Malaysia,248,44,31,15,11,12,6,1,1,0,369
2013-09-24,Malaysia,454,97,73,46,20,8,5,1,0,1,705
2013-09-25,Malaysia,379,44,45,34,21,11,11,3,0,0,548
2013-09-26,Malaysia,210,41,26,21,14,5,6,3,0,0,326
2013-09-27,Malaysia,125,84,52,37,24,11,9,1,0,3,346
2013-09-28,Malaysia,206,72,64,53,51,31,29,5,1,0,512
2013-09-29,Malaysia,143,97,92,91,65,39,24,8,0,3,562
2013-09-30,Malaysia,192,19,11,6,9,3,0,0,0,0,240
2013-10-01,Malaysia,200,73,65,28,17,8,4,2,0,0,397
2013-10-02,Malaysia,312,43,22,12,17,4,1,0,0,0,411
2013-10-03,Malaysia,223,62,40,22,16,9,3,2,0,0,377
2013-10-04,Malaysia,200,21,23,9,9,5,8,6,0,1,282
2013-10-05,Malaysia,367,70,73,49,48,26,23,5,0,1,662
2013-10-06,Malaysia,185,67,46,44,51,34,30,8,1,0,466
2013-10-07,Malaysia,153,32,20,17,13,10,9,4,0,0,258
2013-10-08,Malaysia,280,64,54,29,28,25,19,5,0,0,504
2013-10-09,Malaysia,473,69,44,23,11,7,5,2,0,0,634
2013-10-10,Malaysia,178,99,53,43,26,18,7,3,0,1,428
2013-10-11,Malaysia,195,69,42,39,25,16,4,4,0,0,394
2013-10-12,Malaysia,742,36,38,20,15,5,8,8,0,0,872
2013-10-13,Malaysia,202,95,83,69,51,40,43,19,1,0,603
2013-10-14,Malaysia,50,13,12,10,12,8,4,2,0,0,111
2013-10-15,Malaysia,14,7,2,3,2,1,0,3,0,0,32
2013-10-16,Malaysia,81,14,10,8,3,1,1,1,0,0,119
2013-10-17,Malaysia,303,66,51,39,28,20,10,4,1,1,523
2013-10-18,Malaysia,43,21,15,5,8,7,4,2,0,0,105
2013-10-19,Malaysia,195,92,79,52,40,29,24,10,2,0,523
2013-10-20,Malaysia,178,84,81,89,60,47,28,14,2,2,585
2013-10-21,Malaysia,304,51,34,24,21,6,5,2,0,2,449
2013-10-22,Malaysia,384,48,50,20,11,8,6,2,0,0,529
2013-10-23,Malaysia,591,45,33,24,18,9,2,6,1,2,731
2013-10-24,Malaysia,430,41,33,27,13,1,4,2,1,2,554
2013-10-25,Malaysia,359,110,67,49,23,11,10,7,0,1,637
2013-10-26,Malaysia,256,86,77,37,35,33,21,5,1,0,551
