date,state,daily,donations_new,donations_returning
2006-06-16,Malaysia,677,481,196
2006-06-17,Malaysia,847,543,304
2006-06-18,Malaysia,686,399,287
2006-06-19,Malaysia,408,298,110
2006-06-20,Malaysia,467,297,170
2006-06-21,Malaysia,617,345,272
2006-06-22,Malaysia,535,421,114
2006-06-23,Malaysia,476,188,288
2006-06-24,Malaysia,947,809,138
2006-06-25,Malaysia,625,437,188
2006-06-26,Malaysia,341,142,199
2006-06-27,Malaysia,856,628,228
2006-06-28,Malaysia,414,234,180
2006-06-29,Malaysia,462,303,159
2006-06-30,Malaysia,388,119,269
2006-07-01,Malaysia,216,24,192
2006-07-02,Malaysia,582,353,229
2006-07-03,Malaysia,407,279,128
2006-07-04,Malaysia,506,277,229
2006-07-05,Malaysia,452,239,213
2006-07-06,Malaysia,241,128,113
2006-07-07,Malaysia,364,270,94
2006-07-08,Malaysia,611,304,307
2006-07-09,Malaysia,341,170,171
2006-07-10,Malaysia,384,192,192
2006-07-11,Malaysia,901,538,363
2006-07-12,Malaysia,901,547,354
2006-07-13,Malaysia,1012,599,413
2006-07-14,Malaysia,918,568,350
2006-07-15,Malaysia,663,358,305
2006-07-16,Malaysia,543,333,210
2006-07-17,Malaysia,404,230,174
2006-07-18,Malaysia,522,219,303
2006-07-19,Malaysia,807,540,267
2006-07-20,Malaysia,756,501,255
2006-07-21,Malaysia,502,378,124
2006-07-22,Malaysia,661,244,417
2006-07-23,Malaysia,945,689,256
2006-07-24,Malaysia,504,228,276
2006-07-25,Malaysia,927,596,331
2006-07-26,Malaysia,1351,774,577
2006-07-27,Malaysia,910,630,280
2006-07-28,Malaysia,867,481,386
2006-07-29,Malaysia,703,462,241
2006-07-30,Malaysia,783,501,282
2006-07-31,Malaysia,167,72,95
2006-08-01,Malaysia,697,316,381
2006-08-02,Malaysia,526,266,260
2006-08-03,Malaysia,618,431,187
2006-08-04,Malaysia,263,133,130
2006-08-05,Malaysia,221,102,119
2006-08-06,Malaysia,801,545,256
2006-08-07,Malaysia,502,286,216
2006-08-08,Malaysia,433,239,194
2006-08-09,Malaysia,813,527,286
2006-08-10,Malaysia,732,446,286
2006-08-11,Malaysia,291,107,184
2006-08-12,Malaysia,752,548,204
2006-08-13,Malaysia,826,516,310
2006-08-14,Malaysia,813,435,378
2006-08-15,Malaysia,1294,854,440
2006-08-16,Malaysia,661,421,240
2006-08-17,Malaysia,945,602,343
2006-08-18,Malaysia,658,543,115
2006-08-19,Malaysia,474,371,103
2006-08-20,Malaysia,948,598,350
2006-08-21,Malaysia,318,156,162
2006-08-22,Malaysia,726,442,284
2006-08-23,Malaysia,1084,645,439
2006-08-24,Malaysia,1093,785,308
2006-08-25,Malaysia,961,325,636
2006-08-26,Malaysia,347,234,113
2006-08-27,Malaysia,687,427,260
2006-08-28,Malaysia,345,226,119
2006-08-29,Malaysia,797,618,179
2006-08-30,Malaysia,509,357,152
2006-08-31,Malaysia,775,310,465
2006-09-01,Malaysia,134,40,94
2006-09-02,Malaysia,1006,521,485
2006-09-03,Malaysia,2266,1854,412
2006-09-04,Malaysia,308,136,172
2006-09-05,Malaysia,1054,588,466
2006-09-06,Malaysia,903,505,398
2006-09-07,Malaysia,842,519,323
2006-09-08,Malaysia,576,405,171
2006-09-09,Malaysia,370,208,162
2006-09-10,Malaysia,892,511,381
2006-09-11,Malaysia,660,393,267
2006-09-12,Malaysia,955,608,347
2006-09-13,Malaysia,853,636,217
2006-09-14,Malaysia,1084,505,579
2006-09-15,Malaysia,720,454,266
2006-09-16,Malaysia,704,577,127
2006-09-17,Malaysia,753,418,335
2006-09-18,Malaysia,561,283,278
2006-09-19,Malaysia,858,374,484
2006-09-20,Malaysia,1289,764,525
2006-09-21,Malaysia,1586,1116,470
2006-09-22,Malaysia,1087,660,427
2006-09-23,Malaysia,368,215,153
2006-09-24,Malaysia,256,208,48
2006-09-25,Malaysia,64,22,42
2006-09-26,Malaysia,65,23,42
2006-09-27,Malaysia,175,113,62
2006-09-28,Malaysia,328,169,159
2006-09-29,Malaysia,637,98,539
2006-09-30,Malaysia,124,41,83
2006-10-01,Malaysia,725,340,385
2006-10-02,Malaysia,270,186,84
2006-10-03,Malaysia,191,93,98
2006-10-04,Malaysia,284,173,111
2006-10-05,Malaysia,370,207,163
2006-10-06,Malaysia,535,291,244
2006-10-07,Malaysia,57,19,38
2006-10-08,Malaysia,713,425,288
2006-10-09,Malaysia,270,148,122
2006-10-10,Malaysia,180,96,84
2006-10-11,Malaysia,287,38,249
2006-10-12,Malaysia,413,187,226
2006-10-13,Malaysia,610,93,517
2006-10-14,Malaysia,337,264,73
2006-10-15,Malaysia,1285,804,481
2006-10-16,Malaysia,694,371,323
2006-10-17,Malaysia,438,219,219
2006-10-18,Malaysia,288,180,108
2006-10-19,Malaysia,715,249,466
2006-10-20,Malaysia,378,169,209
2006-10-21,Malaysia,42,11,31
2006-10-22,Malaysia,219,138,81
2006-10-23,Malaysia,72,24,48
2006-10-24,Malaysia,18,0,18
2006-10-25,Malaysia,47,4,43
2006-10-26,Malaysia,169,32,137
2006-10-27,Malaysia,261,135,126
2006-10-28,Malaysia,307,170,137
2006-10-29,Malaysia,792,506,286
2006-10-30,Malaysia,348,127,221
2006-10-31,Malaysia,333,98,235
2006-11-01,Malaysia,546,268,278
2006-11-02,Malaysia,498,343,155
2006-11-03,Malaysia,791,543,248
2006-11-04,Malaysia,292,165,127
2006-11-05,Malaysia,672,428,244
2006-11-06,Malaysia,437,232,205
2006-11-07,Malaysia,749,251,498
2006-11-08,Malaysia,692,378,314
2006-11-09,Malaysia,962,624,338
2006-11-10,Malaysia,559,251,308
2006-11-11,Malaysia,274,151,123
2006-11-12,Malaysia,889,479,410
2006-11-13,Malaysia,386,196,190
2006-11-14,Malaysia,824,445,379
2006-11-15,Malaysia,479,307,172
2006-11-16,Malaysia,839,591,248
2006-11-17,Malaysia,618,381,237
2006-11-18,Malaysia,247,147,100
2006-11-19,Malaysia,645,400,245
2006-11-20,Malaysia,847,459,388
2006-11-21,Malaysia,921,438,483
2006-11-22,Malaysia,1414,582,832
2006-11-23,Malaysia,1754,1003,751
2006-11-24,Malaysia,1079,544,535
2006-11-25,Malaysia,357,126,231
2006-11-26,Malaysia,719,434,285
2006-11-27,Malaysia,437,278,159
2006-11-28,Malaysia,514,185,329
2006-11-29,Malaysia,376,223,153
2006-11-30,Malaysia,877,457,420
2006-12-01,Malaysia,597,423,174
2006-12-02,Malaysia,464,305,159
2006-12-03,Malaysia,1267,687,580
2006-12-04,Malaysia,225,89,136
2006-12-05,Malaysia,455,180,275
2006-12-06,Malaysia,491,289,202
2006-12-07,Malaysia,458,146,312
2006-12-08,Malaysia,374,183,191
2006-12-09,Malaysia,379,252,127
2006-12-10,Malaysia,667,353,314
2006-12-11,Malaysia,360,137,223
2006-12-12,Malaysia,668,338,330
2006-12-13,Malaysia,728,406,322
2006-12-14,Malaysia,805,412,393
2006-12-15,Malaysia,332,150,182
